zip_code,county,state,beds_0,beds_1,beds_2,beds_3,beds_4,year
90210,Los Angeles,CA,1200,1500,2000,2500,3000,2023
10001,New York,NY,1500,1800,2300,2800,3300,2023
78701,Travis,TX,900,1200,1600,2000,2400,2023
75001,Dallas,TX,850,1100,1400,1800,2200,2023
33101,Miami-Dade,FL,1100,1400,1800,2200,2600,2023
60601,Cook,IL,950,1300,1700,2100,2500,2023
98101,King,WA,1300,1600,2100,2600,3100,2023
20001,Washington,DC,1400,1700,2200,2700,3200,2023
02108,Suffolk,MA,1250,1550,2050,2550,3050,2023
30301,Fulton,GA,950,1200,1600,2000,2400,2023
